affiliate,local,aff_state,aff_council,aff_local,aff_chapter,aff_name,Industry,Jurisdiction,Employer,Function,single_ocptn,Org_type
L1000,860,NY,,1000,860,Mamaroneck Union Free School District Teacher Aides,K-12 Schools,City,School District,Knowledge Enrichment,Teacher'S Aides,Public
L1000,860,NY,,1000,860,Mamaroneck Village,Public Administration,Village,Village,Daily Operations,Multiple,Public
C57,3291,CA,57,3291,,Mammoth Lakes Town,Public Administration,Town,Town,Daily Operations,Multiple,Public
C73,1236,NJ,73,1236,,Manalapan Township,Law Enforcement,Township,Township,Daily Operations,Multiple,Public
C979,1584,FL,979,1584,,Manatte County School Board,K-12 Schools,County,School Board,Knowledge Enrichment,Multiple,Public
C40,2271,WI,40,2271,,Manawa School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C4,818,CT,4,818,49,Manchester Board Of Education Building And Grounds Supervisors,K-12 Schools,City,Board Of Education,Buildings And Grounds,Supervisors,Public
C4,991,CT,4,991,,Manchester Board Of Education Custodial And Maintenance,K-12 Schools,City,Board Of Education,Custodial And Maintenance,Blue Collar,Public
C4,991,CT,4,991,,Manchester Board Of Education Food Service,K-12 Schools,City,Board Of Education,Food Services,Cafeteria Workers,Public
C4,991,CT,4,991,,Manchester Board Of Education Hall Monitors,K-12 Schools,City,Board Of Education,Daily Operations,Hall Monitors,Public
C4,991,CT,4,991,223,Manchester Board Of Education Secretaries,K-12 Schools,City,Board Of Education,Clerical/Admin,Secretaries,Public
C93,298,NH,93,298,,Manchester City Building Maintenance Division,Public Administration,City,City Government,Buildings And Grounds,Maintenance,Public
C93,298,NH,93,298,,Manchester City Health Department,Health Care,City,Health Department,Health,Multiple,Public
C93,298,NH,93,298,,Manchester City Master Agreement,Public Administration,City,City Government,Daily Operations,Multiple,Public
C93,298,NH,93,298,,Manchester Housing And Redevelopment Authority,Human Services,City,Housing Authority,Housing,Blue Collar,Public
L4,221,OH,,4,221,Manchester Local Board Of Education,K-12 Schools,City,Board Of Education,Knowledge Enrichment,Multiple,Public
L4,343,OH,,4,343,Manchester Local School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C93,3912,NH,93,3912,,Manchester School District Paraprofessionals,K-12 Schools,City,School District,Knowledge Enrichment,Paraprofessionals,Public
C4,991,CT,4,991,,Manchester Town Library,Public Administration,Town,Library,Knowledge Enrichment,Library Workers,Public
C93,490,VT,93,490,,Manchester Town Police Department Unit,Law Enforcement,Town,Department,Security & Public Safety,Multiple,Public
C4,991,CT,4,991,,Manchester Town Public Works,Public Administration,Town,Town,Public Works,Blue Collar,Public
C93,687,MA,93,687,,Manchester-By-The-Sea Clerical,Public Administration,City,City Government,Clerical/Admin,Clerical Employees,Public
C93,687,MA,93,687,,Manchester-By-The-Sea Department Of Public Works,Utilities & Infrastructure,City,Department,Public Works,Blue Collar,Public
L1000,835,NY,,1000,835,Manchester-Shortsville Central School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
L1000,882,NY,,1000,882,Manhasset-Lakeville Water And Fire District,Emergency Services,District,Public Authority,Security & Public Safety,Multiple,Public
C25,2810,MI,25,2810,,Manistee Board Of Education Clerical,K-12 Schools,City,Board Of Education,Clerical/Admin,Clerical Employees,Public
C25,1196,MI,25,1196,1,Manistique City Department Of Public Works And Water And Sewer,Utilities & Infrastructure,City,Department,Public Works,Blue Collar,Public
C40,731,WI,40,731,,Manitowoc Board Of Education Building And Grounds,K-12 Schools,City,Board Of Education,Buildings And Grounds,Blue Collar,Public
C40,731,WI,40,731,,Manitowoc Board Of Education Clerical Unit,K-12 Schools,City,Board Of Education,Clerical/Admin,Clerical Employees,Public
C40,731,WI,40,731,,Manitowoc City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C40,731,WI,40,731,,Manitowoc City Wastewater Treatment Facility,Utilities & Infrastructure,City,City Government,Water Treatment,Treatment Facility Employees,Public
C40,1288,WI,40,1288,,Manitowoc County Board Of Supervisors Healthcare,Health Care,County,County Government,Health,Multiple,Public
C40,986,WI,40,986,,Manitowoc County Highway Department,Utilities & Infrastructure,County,Department,Public Works,Highway Employees,Public
C40,986,WI,40,986,,Manitowoc County Human Service Professionals,Human Services,County,County Government,Social Services,Professionals,Public
C40,986,WI,40,986,,Manitowoc County Sheriff Department,Law Enforcement,County,Sheriff'S Department,Security & Public Safety,Multiple,Public
C40,986,WI,40,986,A,Manitowoc County Supportive Services,Public Administration,County,County Government,Clerical/Admin,Support Staff,Public
C40,1288,WI,40,1288,,Manitowoc Health And Rehabilitation Center,Health Care,Single Entity,Health Center,Rehabilitation,Multiple,Private Or Indp Entity
C40,731,WI,40,731,,Manitowoc Public Library,Public Administration,City,Library,Knowledge Enrichment,Library Workers,Public
C65,2374,MN,65,2374,,Mankato City Mass Transit Unit,Transportation,City,Transit Authority,Transport,Blue Collar,Public
L1000,834,NY,,1000,834,Manlius Town Highway Department,Utilities & Infrastructure,Town,Department,Public Works,Highway Employees,Public
C87,942,PA,87,942,A,"Manor At St. Luke Village Facility Operations, Llc D/B/A The Pavilion At St. Luke Village",Home Care,Single Entity,Retirement Home,Convalescence/Old Aged Care,Multiple,Private Or Indp Entity
L1000,882,NY,,1000,882,Manorhaven Village,Transportation,Village,Village,Daily Operations,Multiple,Public
C8,3088,OH,8,3088,,Mansfield City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C93,1702,MA,93,1702,,Mansfield Municipal Electric Department,Utilities & Infrastructure,Municipality,Department,Electric,Multiple,Public
L11,7010,OH,,11,7010,Mansfield R&C (Osr),Corrections,Single Entity,Incarceration Facility,Adult Detention,Multiple,Public
C93,1702,MA,93,1702,,Mansfield Town Public Works Department,Utilities & Infrastructure,Town,Department,Public Works,Blue Collar,Public
C8,3469,OH,8,3469,,Mansfield-Richland Health Department,Health Care,Regional,Health Department,Health,Multiple,Public
C48,1486,WI,48,1486,,Maple Dale-Indian Hill School,K-12 Schools,City,School District,Daily Operations,Blue Collar,Public
C25,1923,MI,25,1923,3,Maple Manor Nursing Center Inc,Home Care,Single Entity,Home Care Provider,Nursing Home,Multiple,Private Or Indp Entity
C40,1397,WI,40,1397,A,Maple School District Bus Drivers And Mechanics,K-12 Schools,City,School District,Transport,Bus Drivers,Public
C40,1397,WI,40,1397,,Maple School District Support Staff,K-12 Schools,City,School District,Daily Operations,Multiple,Public
L4,348,OH,,4,348,Mapleton Local School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C5,2725,MN,5,2725,,Maplewood City,Public Administration,City,City Government,Daily Operations,Multiple,Public
L4,418,OH,,4,418,Maplewood Local School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
L4,420,OH,,4,420,Maplewood Local School District Board Of Education,K-12 Schools,City,Board Of Education,Knowledge Enrichment,Multiple,Public
L1199,C,PA,,1199,C,Maplewood Manor Convalescent Center Lpn,Home Care,Single Entity,Home Care Provider,Convalescence/Old Aged Care,Technicians,Private Or Indp Entity
L1199,C,PA,,1199,C,Maplewood Manor Service And Maintenance,Home Care,Single Entity,Home Care Provider,Buildings And Grounds,Maintenance,Private Or Indp Entity
C40,2492,WI,40,2492,D,Marathon County Courthouse,Courts,County,County Court,Adult Detention,Multiple,Public
C40,2492,WI,40,2492,B,Marathon County Health Department Professional Employees,Health Care,County,Health Department,Health,Professional,Public
C40,326,WI,40,326,,Marathon County Highway Department,Utilities & Infrastructure,County,Department,Public Works,Highway Employees,Public
C40,2492,WI,40,2492,C,Marathon County Library Paraprofessional Employees,Public Administration,County,Library,Knowledge Enrichment,Library Workers,Public
C40,2492,WI,40,2492,E,Marathon County Office And Technical,Public Administration,County,County Government,Clerical/Admin,Multiple,Public
C40,2492,WI,40,2492,,Marathon County Public Library Professional,Public Administration,County,Library,Knowledge Enrichment,Library Workers,Public
C40,2492,WI,40,2492,,Marathon County Social Services Administrative,Human Services,County,County Government,Clerical/Admin,Multiple,Public
C40,2492,WI,40,2492,A,Marathon County Social Services Professional Employees,Human Services,County,County Government,Social Services,Professional,Public
C65,456,MN,65,456,,Marble City Base Unit,Public Administration,City,City Government,Daily Operations,Multiple,Public
C65,456,MN,65,456,,Marble City Essential Unit,Law Enforcement,City,City Government,Daily Operations,Essential Staff,Public
C93,2610,MA,93,2610,,Marblehead School Committee Cafeteria,K-12 Schools,City,School Committee,Food Services,Cafeteria Workers,Public
C25,992,MI,25,992,5,Marenisco Township,Public Administration,Township,Township,Daily Operations,Multiple,Public
L1199,J,NJ,,1199,J,Margaret Anna Cusack Care Center At St. Joseph'S Home For The Blind,Health Care,Single Entity,Health Center,Special Education/Needs,Multiple,Private Or Indp Entity
L4,379,OH,,4,379,Margaretta Local School Board,K-12 Schools,City,Board Of Education,Daily Operations,Blue Collar,Public
L4,1,OH,,4,1,Marietta City School District Board Of Education,K-12 Schools,City,Board Of Education,Knowledge Enrichment,Multiple,Public
C40,260,WI,40,260,,Marinette City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C40,1752,WI,40,1752,,Marinette County Courthouse Employees,Courts,County,County Court,Adult Detention,Multiple,Public
C40,1752,WI,40,1752,,Marinette County Professional Employees,Public Administration,County,County Government,Professional,Professional,Public
C40,260,WI,40,260,,Marinette School District,K-12 Schools,City,School District,Daily Operations,Blue Collar,Public
L4,154,OH,,4,154,Marion Board Of Education,K-12 Schools,City,Board Of Education,Knowledge Enrichment,Multiple,Public
C83,2772,PA,83,2772,,Marion Center Area School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
L1000,859,NY,,1000,859,Marion Central School District #1 Support Staff,K-12 Schools,City,School District,Daily Operations,Multiple,Public
C962,3063,IN,962,3063,,Marion City,Utilities & Infrastructure,City,City Government,Public Works,Blue Collar,Public
C8,1158,OH,8,1158,,Marion City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C61,3016,IA,61,3016,,Iowa Judicial Branch,Courts,State,Department,Legal Services,Multiple,Public
C8,2694,OH,8,2694,,Marion County Engineer Highway Department,Utilities & Infrastructure,County,Department,Public Works,Highway Employees,Public
C61,3018,IA,61,3018,,Iowa Judicial Branch,Courts,State,Department,Legal Services,Multiple,Public
C94,1491,RI,94,1491,,Marion J. Mohr Memorial Library,Public Administration,City,Library,Knowledge Enrichment,Library Workers,Public
C93,30,MA,93,30,,Marion Town Department Of Public Works,Utilities & Infrastructure,Town,Department,Public Works,Multiple,Public
L3090,CUHW,CA,,3090,CUHW,Mariposa County In-Home Supportive Service Public Authority,Home Care,County,County Government,Health,Blue Collar,Public
C57,2703,CA,57,2703,,Mariposa County Managerial/Confidential Unit,Public Administration,County,County Government,Professional,Supervisors,Public
C31,1473,IL,31,1473,,Markham Public Works Employees,Public Administration,City,City Government,Public Works,Multiple,Public
C4,1303,CT,4,1303,381,Marlborough Board Of Education Paraprofessionals,K-12 Schools,City,Board Of Education,Daily Operations,Paraprofessionals,Public
C93,1709,MA,93,1709,,Marlborough School Custodians/Houseworkers,K-12 Schools,City,School Committee,Buildings And Grounds,Custodians,Public
C4,1303,CT,4,1303,433,Marlborough Town,Public Administration,Town,Town,Daily Operations,Multiple,Public
C4,818,CT,4,818,52,Marlborough Town Supervisors,Public Administration,Town,Town,Professional,Supervisors,Public
L4,362,OH,,4,362,Marlington Local School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C25,1852,MI,25,1852,6,Marquette Charter Township,Utilities & Infrastructure,Township,Township,Public Works,Blue Collar,Public
C25,1852,MI,25,1852,1,Marquette City Parks And Recreation Public Works Etc.,Public Administration,City,City Government,Public Works,Multiple,Public
C25,1852,MI,25,1852,2,Marquette City Supervisory Unit,Utilities & Infrastructure,City,City Government,Public Works,Supervisors,Public
C25,1852,MI,25,1852,3,Marquette City Town Hall Employees,Public Administration,Town,Town Hall,Clerical/Admin,City Hall Employees,Public
C25,1613,MI,25,1613,1,Marquette County Central Dispatch,Emergency Services,County,County Government,Security & Public Safety,Dispatchers,Public
C25,2914,MI,25,2914,,Marquette County Courthouse,Courts,County,County Court,Adult Detention,Multiple,Public
C25,1613,MI,25,1613,,Marquette County Health Department,Health Care,County,Health Department,Health,Multiple,Public
C40,1740,WI,40,1740,,Marquette County Highway,Utilities & Infrastructure,County,County Government,Public Works,Highway Employees,Public
C25,2194,MI,25,2194,,Marquette County Medical Care Facility,Health Care,County,Medical Center,Health,Multiple,Public
C25,2724,MI,25,2724,,Marquette County Road Commission,Utilities & Infrastructure,County,Road Commission,Public Works,Highway Employees,Public
C25,1852,MI,25,1852,10,Marquette County Solid Waste Management Authority,Utilities & Infrastructure,County,Sanitation Authority,Sanitation,Blue Collar,Public
C25,3392,MI,25,3392,,Marquette County Transit Authority,Transportation,County,Transit Authority,Transport,Blue Collar,Public
C25,1852,MI,25,1852,7,Marquette Housing Commission General Unit,Utilities & Infrastructure,City,Housing Authority,Housing,Maintenance,Public
C25,1852,MI,25,1852,8,Marquette Housing Commission Supervisory,Human Services,Regional,Commission,Professional,Supervisors,Public
C25,2565,MI,25,2565,1,Marquette-Alger Regional Education Service Agency,K-12 Schools,Regional,School District,Knowledge Enrichment,Multiple,Public
L1199,C,PA,,1199,C,Marriott Management Food Services At Graduate Hospital,Health Care,Single Entity,Hospital,Food Services,Multiple,Private Or Indp Entity
C65,1687,MN,65,1687,H,Marshall City,Public Administration,City,City Government,Daily Operations,Blue Collar,Public
C40,929,WI,40,929,,Marshfield Board Of Education Custodial And Maintenance,K-12 Schools,City,Board Of Education,Custodial And Maintenance,Blue Collar,Public
C40,929,WI,40,929,,Marshfield City,Public Administration,City,City Government,Daily Operations,Blue Collar,Public
C40,929,WI,40,929,,Marshfield City Clerical And Technical,Public Administration,City,City Government,Clerical/Admin,Multiple,Public
C93,1700,MA,93,1700,,Marshfield School Committee Custodians,K-12 Schools,City,School Committee,Buildings And Grounds,Custodians,Public
C93,1700,MA,93,1700,,Marshfield Town Clerical Unit,Public Administration,Town,Town,Clerical/Admin,Clerical Employees,Public
C93,1700,MA,93,1700,,Marshfield Town Public Works,Utilities & Infrastructure,Town,Town,Public Works,Multiple,Public
C93,1700,MA,93,1700,,Marshfield Town Supervisory,Public Administration,Town,Town,Professional,Supervisors,Public
C65,1204,MN,65,1204,,Martin County Courthouse,Courts,County,County Court,Adult Detention,Multiple,Public
C65,1204,MN,65,1204,,Martin County Highway Unit,Utilities & Infrastructure,County,County Government,Public Works,Highway Employees,Public
C65,1204,MN,65,1204,C,Martin County Library Board,Public Administration,County,Library,Knowledge Enrichment,Library Workers,Public
C979,597,FL,979,597,,Martin County School Board,K-12 Schools,County,School Board,Knowledge Enrichment,Multiple,Public
C979,3879,FL,979,3879,,Martin County Sheriff'S Office Civilian Employees,Law Enforcement,County,County Government,Security & Public Safety,Multiple,Public
C8,1260,OH,8,1260,,Martins Ferry City Blue Collar Dispatcher Clerk,Public Administration,City,City Government,Daily Operations,Multiple,Public
L4,546,OH,,4,546,Martins Ferry City School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
L1199,C,PA,,1199,C,Marwood Rest Home,Home Care,Single Entity,Retirement Home,Convalescence/Old Aged Care,Multiple,Private Or Indp Entity
C67,406,MD,67,406,,Maryland Home Care Providers,Home Care,State,State Government,Convalescence/Old Aged Care,Multiple,Public
C3,,MD,3,,,"Maryland State Bargaining Unit A, B, C, D, And F",Public Administration,State,Various,Daily Operations,Multiple,Public
C3,3737,MD,3,3737,,"Maryland State Of, Public Safety And Security Unit H",Corrections,State,State Government,Adult Detention,Multiple,Public
C67,1859,MD,67,1859,,Maryland Transit Administration,Transportation,State,Department,Institutional Operations,Multiple,Public
L11,8010,OH,,11,8010,Marysville Reformatory,Corrections,Single Entity,Incarceration Facility,Adult Detention,Multiple,Public
L1000,868,NY,,1000,868,Maryvale School System,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C31,55,IL,31,55,,Maryville Academy,K-12 Schools,District,High School,Knowledge Enrichment,Multiple,Private Or Indp Entity
C93,939,MA,93,939,,Masconomet Regional School District,K-12 Schools,Regional,School District,Knowledge Enrichment,Multiple,Public
C93,939,MA,93,939,,Masconomet Regional School District,K-12 Schools,Regional,School District,Custodial And Maintenance,Blue Collar,Public
C61,3019,IA,61,3019,,Iowa Judicial Branch,Courts,State,Department,Legal Services,Multiple,Public
C25,1390,MI,25,1390,10,Mason City,Public Administration,City,City Government,Daily Operations,Multiple,Public
L4,70,OH,,4,70,Mason City School District,K-12 Schools,City,School District,Daily Operations,Blue Collar,Public
C25,2389,MI,25,2389,3,Mason County Central School District,K-12 Schools,City,School District,Daily Operations,Blue Collar,Public
C2,1504,WA,2,1504,H,Mason General Hospital,Health Care,Single Entity,Hospital,Health,Multiple,Public
C93,1067,MA,93,1067,,Mass Maritime Academy,Higher Education,Single Entity,Technical College,Daily Operations,Multiple,Public
C25,3437,MI,25,3437,A,Mass Transportation Authority Fixed Route,Transportation,State,Transit Authority,Institutional Operations,Drivers,Public
C25,3437,MI,25,3437,,Mass Transportation Authority Maintenance,Transportation,State,Transit Authority,Institutional Operations,Maintenance,Public
C31,2321,IL,31,2321,,Massac County Highway Department,Utilities & Infrastructure,County,Department,Public Works,Highway Employees,Public
C93,1067,MA,93,1067,,Massachusetts College Of Liberal Arts,Higher Education,Single Entity,State College,Daily Operations,Multiple,Public
C93,17,MA,93,17,,Massachusetts Commonwealth Unit 2,Health Care,State,Various,Health,Multiple,Public
C93,24,MA,93,24,,Massachusetts Commonwealth Unit 2,Health Care,State,Intellectual Disability Caretaker,Mental Health,Multiple,Public
C93,72,MA,93,72,,Massachusetts Commonwealth Unit 2,Public Administration,State,Various,Daily Operations,Multiple,Public
C93,137,MA,93,137,,Massachusetts Commonwealth Unit 2,Health Care,Single Entity,Hospital,Mental Health,Multiple,Public
C93,402,MA,93,402,,Massachusetts Commonwealth Unit 2,Health Care,State,Intellectual Disability Caretaker,Mental Health,Multiple,Public
C93,470,MA,93,470,,Massachusetts Commonwealth Unit 2,Public Administration,State,Various,Daily Operations,Multiple,Public
C93,554,MA,93,554,,Massachusetts Commonwealth Unit 2,Public Administration,State,Various,Daily Operations,Multiple,Public
C93,646,MA,93,646,,Massachusetts Commonwealth Unit 2,Public Administration,State,Various,Daily Operations,Multiple,Public
C93,651,MA,93,651,,Massachusetts Commonwealth Unit 2,Public Administration,State,Various,Daily Operations,Multiple,Public
C93,665,MA,93,665,,Massachusetts Commonwealth Unit 2,Public Administration,State,Various,Daily Operations,Multiple,Public
C93,700,MA,93,700,,Massachusetts Commonwealth Unit 2,Public Administration,State,Various,Daily Operations,Multiple,Public
C93,842,MA,93,842,,Massachusetts Commonwealth Unit 2,Public Administration,State,Various,Daily Operations,Multiple,Public
C93,1009,MA,93,1009,,Massachusetts Commonwealth Unit 2,Public Administration,State,Various,Daily Operations,Multiple,Public
C93,1114,MA,93,1114,,Massachusetts Commonwealth Unit 2,Public Administration,State,Various,Daily Operations,Multiple,Public
C93,1190,MA,93,1190,,Massachusetts Commonwealth Unit 2,Health Care,Single Entity,Hospital,Health,Multiple,Public
C93,1368,MA,93,1368,,Massachusetts Commonwealth Unit 2,Public Administration,State,Department,Institutional Operations,Multiple,Public
C93,1242,MA,93,1242,,Massachusetts Water Resources Authority,Utilities & Infrastructure,State,Public Authority,Water Treatment,Water And Sewer Workers,Public
L1000,882,NY,,1000,882,Massapequa Park Village,Public Administration,Village,Village,Institutional Operations,Multiple,Public
L1000,865,NY,,1000,865,Massapequa School District Cafeteria,K-12 Schools,City,School District,Food Services,Cafeteria Workers,Public
L1000,865,NY,,1000,865,Massapequa School District Custodial,K-12 Schools,City,School District,Buildings And Grounds,Custodians,Public
L1000,882,NY,,1000,882,Massapequa Water District,Utilities & Infrastructure,Regional,Water District,Water Treatment,Water And Sewer Workers,Public
C93,1067,MA,93,1067,,Massasoit Community College,Higher Education,Single Entity,Community College,Daily Operations,Multiple,Public
L1000,845,NY,,1000,845,Massena Housing Authority,Human Services,City,Housing Authority,Housing,Multiple,Public
L1000,845,NY,,1000,845,Massena Memorial Hospital,Health Care,Single Entity,Hospital,Health,Multiple,Private Or Indp Entity
L1000,845,NY,,1000,845,Massena Village Department Of Public Works Police And Dispatchers,Public Administration,Village,Department,Security & Public Safety,Dispatchers,Public
L4,114,OH,,4,114,Massillon Board Of Education Operations,K-12 Schools,City,Board Of Education,Daily Operations,Blue Collar,Public
L4,148,OH,,4,148,Massillon Board Of Education Secretaries,K-12 Schools,City,Board Of Education,Clerical/Admin,Secretaries,Public
C8,996,OH,8,996,,Massillon City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C8,996,OH,8,996,2,Massillon City Wastewater Treatment Department,Utilities & Infrastructure,City,Department,Water Treatment,Treatment Facility Employees,Public
L1000,852,NY,,1000,852,Mastics-Moriches-Shirley Community Library,Public Administration,Regional,Library,Knowledge Enrichment,Library Workers,Public
L4,611,OH,,4,611,Mathews Local Board Of Education,K-12 Schools,City,Board Of Education,Knowledge Enrichment,Multiple,Public
C25,1640,MI,25,1640,42,Matrix Head Start,Early Childhood Education,Single Entity,Head Start,Knowledge Enrichment,Multiple,Private Or Indp Entity
C4,818,CT,4,818,47,Mattabassett District Water Pollution Control Plant Supervisors,Utilities & Infrastructure,Regional,Water District,Water Treatment,Supervisors,Public
C4,1303,CT,4,1303,218,Mattabassett Wastewater District,Utilities & Infrastructure,Regional,Water District,Water Treatment,Water And Sewer Workers,Public
C93,30,MA,93,30,,Mattapoisett Town Clerical Workers,Public Administration,Town,Town,Clerical/Admin,Clerical Employees,Public
C93,30,MA,93,30,,Mattapoisett Town Department Of Public Works,Utilities & Infrastructure,Town,Department,Public Works,Blue Collar,Public
L1000,870,NY,,1000,870,Mattituck-Cutchogue Union Free School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C31,3821,IL,31,3821,,Matton City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C25,2757,MI,25,2757,"9, 10",Maud Preston Palenske Memorial Library Supervisory And Non-Supervisory,Public Administration,City,Library,Knowledge Enrichment,Library Workers,Public
L646,,HI,,646,,Maui United Way,Human Services,State,Non-Profit,Health,Multiple,Private Or Indp Entity
C8,649,OH,8,649,,Maumee City,Public Administration,City,City Government,Daily Operations,Multiple,Public
L4,240,OH,,4,240,Maumee City School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C40,569,WI,40,569,,Mauston City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C8,1617,OH,8,1617,,Mayfield Heights City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C93,1703,MA,93,1703,,Maynard School Committee Custodians,K-12 Schools,City,School Committee,Buildings And Grounds,Custodians,Public
C93,1703,MA,93,1703,,Maynard School Committee Secretaries,K-12 Schools,City,School Committee,Clerical/Admin,Secretaries,Public
C93,1703,MA,93,1703,,Maynard Town,Public Administration,Town,Town,Daily Operations,Multiple,Public
C65,105,MN,65,105,,Mayo Clinic Health St. James Lpns,Health Care,Single Entity,Medical Center,Health,Nurses,Private Or Indp Entity
C65,105,MN,65,105,,Mayo Clinic Health System - New Prague Lpns,Health Care,Single Entity,Medical Center,Health,Nurses,Private Or Indp Entity
C65,105,MN,65,105,,Mayo Clinic Health System Austin Campus Lpns,Health Care,Single Entity,Medical Center,Health,Nurses,Private Or Indp Entity
C40,1323,WI,40,1323,,Mayville City Police Department,Law Enforcement,City,Department,Security & Public Safety,Multiple,Public
C85,2069,PA,85,2069,A,Mcar Inc. Mercer County Association For The Retarded,Health Care,Single Entity,Intellectual Disability Caretaker,Mental Health,Multiple,Private Or Indp Entity
C962,2821,KY,962,2821,,Mccracken County Fiscal Court,Courts,County,County Court,Adult Detention,Blue Collar,Public
L4,662,OH,,4,662,Mcdonald Local School Board,K-12 Schools,City,School Board,Knowledge Enrichment,Multiple,Public
C40,60,WI,40,60,,Mcfarland Village,Public Administration,Village,Village,Daily Operations,Multiple,Public
L1000,812,NY,,1000,812,Mcgraw Central School Non Instructional,K-12 Schools,City,School District,Daily Operations,Multiple,Public
C65,1691,MN,65,1691,,Mcgregor Independent School District #4 Support Staff,K-12 Schools,City,School District,Clerical/Admin,Multiple,Public
C40,1527,WI,40,1527,,Mcintosh Memorial Library,Public Administration,City,Library,Knowledge Enrichment,Library Workers,Public
C85,3578,PA,85,3578,,Mckean County Prison,Corrections,County,Incarceration Facility,Adult Detention,Multiple,Public
C25,1855,MI,25,1855,2,Mclaren Central Michigan Hospital,Health Care,Single Entity,Hospital,Health,Multiple,Private Or Indp Entity
C25,2818,MI,25,2818,,Mclaren Health Care Corporation Skilled Maintenance,Health Care,Single Entity,Hospital,Buildings And Grounds,Maintenance,Private Or Indp Entity
C25,2650,MI,25,2650,,Mclaren Health Care Inc. Non-Technical Unit,Health Care,Single Entity,Health Center,Clerical/Admin,Multiple,Private Or Indp Entity
C25,2569,MI,25,2569,,Mclaren Macomb Mount Clemens General Medical Center,Health Care,Single Entity,Hospital,Health,Multiple,Private Or Indp Entity
C25,875,MI,25,875,,Mclaren Regional Medical Center Rns,Health Care,Regional,Medical Center,Health,Nurses,Private Or Indp Entity
C31,537,IL,31,537,,Mclean County Highway Department,Utilities & Infrastructure,County,Department,Public Works,Highway Employees,Public
C65,185,MN,65,185,,Mcleod County Social Service Department,Human Services,County,Department,Social Services,Multiple,Public
C2,1135,WA,2,1135,MT,Mead School District #354,K-12 Schools,City,School District,Daily Operations,Blue Collar,Public
C83,471,PA,83,471,,Meadow View Nursing Center,Home Care,Single Entity,Retirement Home,Convalescence/Old Aged Care,Multiple,Private Or Indp Entity
C85,2643,PA,85,2643,A,Meadville City,Public Administration,City,City Government,Daily Operations,Multiple,Public
L4,502,OH,,4,502,Mechanicsburg Exempted Village School Distrlcf,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
L1000,846,NY,,1000,846,Mechanicville City,Utilities & Infrastructure,City,City Government,Public Works,Blue Collar,Public
C82,1340,NY,82,1340,,Mechanicville City Police,Law Enforcement,City,City Government,Security & Public Safety,Multiple,Public
L1000,846,NY,,1000,846,Mechanicville City Public Works And Water Blue Collar,Utilities & Infrastructure,City,City Government,Public Works,Blue Collar,Public
L1000,864,NY,,1000,864,Mechanicville School District Non Teaching Staff,K-12 Schools,City,School District,Daily Operations,Multiple,Public
C25,1865,MI,25,1865,7,Mecosta County,Public Administration,County,County Government,Daily Operations,Multiple,Public
C25,1865,MI,25,1865,10,Mecosta County Medical Center,Health Care,County,Medical Center,Health,Multiple,Public
C25,1865,MI,25,1865,1,Mecosta County Park Commission,Environmental Stewardship,County,Commission,Parks & Rec,Blue Collar,Public
C25,1865,MI,25,1865,5,Mecosta County Road Commission,Utilities & Infrastructure,County,Road Commission,Public Works,Highway Employees,Public
C25,1865,MI,25,1865,9,Mecosta County Road Commission Supervisors,Utilities & Infrastructure,County,Road Commission,Public Works,Supervisors,Public
C25,1865,MI,25,1865,11,Mecosta-Osceola County Area Transit,Transportation,County,Transit Authority,Transport,Multiple,Public
C25,1865,MI,25,1865,4,Mecosta-Osceola Intermediate School District,K-12 Schools,City,School District,Knowledge Enrichment,Multiple,Public
C93,3901,MA,93,3901,,Medfield School Committee Custodian/Maintenance,K-12 Schools,City,School Committee,Custodial And Maintenance,Blue Collar,Public
C93,1298,MA,93,1298,,Medfield School Committee Secretarial,K-12 Schools,City,School Committee,Clerical/Admin,Secretaries,Public
C93,1315,MA,93,1315,,Medfield Town School Committee Cafeteria,K-12 Schools,City,School Committee,Food Services,Cafeteria Workers,Public
C75,2621,OR,75,2621,,Medford City,Public Administration,City,City Government,Daily Operations,Multiple,Public
C93,3338,MA,93,3338,,Medford City School Committee Secretaries,K-12 Schools,City,School Committee,Clerical/Admin,Secretaries,Public
